"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",,,
,,Thermostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1769818050,"2026/01/31 01:07:30",23.2,30,602,0,
1769818650,"2026/01/31 01:17:30",23.2,30,603,0,
1769819250,"2026/01/31 01:27:30",23.2,30,591,0,
1769819850,"2026/01/31 01:37:30",23.2,30,603,0,
1769820450,"2026/01/31 01:47:30",23.1,30,602,0,
1769821050,"2026/01/31 01:57:30",23.1,30,603,0,
1769821650,"2026/01/31 02:07:30",23.1,30,592,0,
1769822250,"2026/01/31 02:17:30",23.1,30,602,0,
1769822850,"2026/01/31 02:27:30",23.1,30,603,0,
1769823450,"2026/01/31 02:37:30",23.1,30,602,0,
1769824050,"2026/01/31 02:47:30",23.1,30,603,0,
1769824650,"2026/01/31 02:57:30",23.1,30,591,0,
1769825250,"2026/01/31 03:07:30",23.1,30,603,0,
1769825850,"2026/01/31 03:17:30",23.1,30,602,0,
1769826450,"2026/01/31 03:27:30",23.1,30,603,0,
1769827050,"2026/01/31 03:37:30",23.1,30,592,0,
1769827650,"2026/01/31 03:47:30",23,30,602,0,
1769828250,"2026/01/31 03:57:30",23,30,603,0,
1769828850,"2026/01/31 04:07:30",23,30,602,0,
1769829450,"2026/01/31 04:17:30",23,30,592,0,
1769830050,"2026/01/31 04:27:30",23,30,602,0,
1769830650,"2026/01/31 04:37:30",23,30,603,0,
1769831250,"2026/01/31 04:47:30",23,30,602,0,
1769831850,"2026/01/31 04:57:30",23,30,603,0,
1769832450,"2026/01/31 05:07:30",23,30,592,0,
1769833050,"2026/01/31 05:17:30",23,30,602,0,
1769833650,"2026/01/31 05:27:30",23,30,603,0,
1769834250,"2026/01/31 05:37:30",23,30,602,0,
1769834850,"2026/01/31 05:47:30",23,30,592,0,
1769835450,"2026/01/31 05:57:30",23,30,602,0,
1769836050,"2026/01/31 06:07:30",23,30,603,0,
1769836650,"2026/01/31 06:17:30",23,30,602,0,
1769837250,"2026/01/31 06:27:30",23,30,592,0,
1769837850,"2026/01/31 06:37:30",23,30,603,0,
1769838450,"2026/01/31 06:47:30",23,30,602,0,
1769839050,"2026/01/31 06:57:30",23,30,603,0,
1769839650,"2026/01/31 07:07:30",23,30,602,0,
1769840250,"2026/01/31 07:17:30",23,30,592,0,
1769840850,"2026/01/31 07:27:30",23,30,602,0,
1769841450,"2026/01/31 07:37:30",23,30,603,0,
1769842050,"2026/01/31 07:47:30",23,30,603,0,
1769842650,"2026/01/31 07:57:30",23,30,591,0,
1769843250,"2026/01/31 08:07:30",23,30,603,0,
1769843850,"2026/01/31 08:17:30",23,30,602,0,
1769844450,"2026/01/31 08:27:30",23,30,603,0,
1769845050,"2026/01/31 08:37:30",23,30,591,0,
1769845650,"2026/01/31 08:47:30",23.1,30,603,0,
1769846250,"2026/01/31 08:57:30",23.1,30,603,0,
1769846850,"2026/01/31 09:07:30",23.1,30,602,0,
1769847450,"2026/01/31 09:17:30",23.1,30,603,0,
1769848050,"2026/01/31 09:27:30",23.1,30,591,0,
1769848650,"2026/01/31 09:37:30",23.2,30,603,0,
1769849250,"2026/01/31 09:47:30",23.2,30,602,0,
1769849850,"2026/01/31 09:57:30",23.3,30,603,0,
1769850450,"2026/01/31 10:07:30",23.3,30,591,0,
1769851050,"2026/01/31 10:17:30",23.3,30,603,0,
1769851650,"2026/01/31 10:27:30",23.4,30,603,0,
1769852250,"2026/01/31 10:37:30",23.4,30,602,0,
1769852850,"2026/01/31 10:47:30",23.4,30,592,0,
1769853450,"2026/01/31 10:57:30",23.4,30,602,0,
1769854050,"2026/01/31 11:07:30",23.4,30,603,0,
1769854650,"2026/01/31 11:17:30",23.4,30,602,0,
1769855250,"2026/01/31 11:27:30",23.4,30,603,0,
1769855850,"2026/01/31 11:37:30",23.4,30,592,0,
1769856450,"2026/01/31 11:47:30",23.4,30,602,0,
1769857050,"2026/01/31 11:57:30",23.4,30,603,0,
1769857650,"2026/01/31 12:07:30",23.4,30,602,0,
1769858250,"2026/01/31 12:17:30",23.4,30,592,0,
1769858850,"2026/01/31 12:27:30",23.5,30,602,0,
1769859450,"2026/01/31 12:37:30",23.5,30,603,0,
1769860050,"2026/01/31 12:47:30",23.5,30,602,0,
1769860650,"2026/01/31 12:57:30",23.5,30,592,0,
1769861250,"2026/01/31 13:07:30",23.5,30,603,0,
1769861850,"2026/01/31 13:17:30",23.5,30,602,0,
1769862450,"2026/01/31 13:27:30",23.6,30,603,0,
1769863050,"2026/01/31 13:37:30",23.6,30,602,0,
1769863650,"2026/01/31 13:47:30",23.6,30,592,0,
1769864250,"2026/01/31 13:57:30",23.6,30,602,0,
1769864850,"2026/01/31 14:07:30",23.7,30,603,0,
1769865450,"2026/01/31 14:17:30",23.8,26.8,635,0,
1769866050,"2026/01/31 14:27:30",23.7,23.5,0,591,
1769866650,"2026/01/31 14:37:30",23.7,23.5,0,592,
1769867250,"2026/01/31 14:47:30",23.7,23.5,0,613,
1769867850,"2026/01/31 14:57:30",23.7,23.5,0,603,
1769868450,"2026/01/31 15:07:30",23.7,23.5,0,592,
1769869050,"2026/01/31 15:17:30",23.6,23.5,0,602,
1769869650,"2026/01/31 15:27:30",23.6,23.5,0,603,
1769870250,"2026/01/31 15:37:30",23.6,23.5,0,602,
1769870850,"2026/01/31 15:47:30",23.6,23.5,0,592,
1769871450,"2026/01/31 15:57:30",23.6,23.5,0,602,
1769872050,"2026/01/31 16:07:30",23.6,23.5,0,603,
1769872650,"2026/01/31 16:17:30",23.5,23.5,0,602,
1769873250,"2026/01/31 16:27:30",23.5,23.5,0,603,
1769873850,"2026/01/31 16:37:30",23.5,23.5,0,592,
1769874450,"2026/01/31 16:47:30",23.5,23.5,0,602,
1769875050,"2026/01/31 16:57:30",23.4,23.5,0,603,
1769875650,"2026/01/31 17:07:30",23.5,23.5,0,602,
1769876250,"2026/01/31 17:17:30",23.4,23.5,0,592,
1769876850,"2026/01/31 17:27:30",23.4,23.5,0,602,
1769877450,"2026/01/31 17:37:30",23.4,23.5,366,236,
1769878050,"2026/01/31 17:47:30",23.4,23.5,602,0,
1769878650,"2026/01/31 17:57:30",23.4,23.5,592,0,
1769879250,"2026/01/31 18:07:30",23.4,23.5,603,0,
1769879850,"2026/01/31 18:17:30",23.4,23.5,602,0,
1769880450,"2026/01/31 18:27:30",23.4,23.5,603,0,
1769881050,"2026/01/31 18:37:30",23.4,23.5,602,0,
1769881650,"2026/01/31 18:47:30",23.4,23.5,592,0,
1769882250,"2026/01/31 18:57:30",23.4,23.5,602,0,
1769882850,"2026/01/31 19:07:30",23.4,23.5,603,0,
1769883450,"2026/01/31 19:17:30",23.4,23.5,602,0,
1769884050,"2026/01/31 19:27:30",23.4,23.3,635,0,
1769884650,"2026/01/31 19:37:30",23.4,23,0,592,
1769885250,"2026/01/31 19:47:30",23.4,23,0,602,
1769885850,"2026/01/31 19:57:30",23.4,23,0,603,
1769886450,"2026/01/31 20:07:30",23.4,23,0,602,
1769887050,"2026/01/31 20:17:30",23.4,23,0,592,
1769887650,"2026/01/31 20:27:30",23.4,23,0,603,
1769888250,"2026/01/31 20:37:30",23.4,23,0,602,
1769888850,"2026/01/31 20:47:30",23.4,23,0,603,
1769889450,"2026/01/31 20:57:30",23.3,23,0,591,
1769890050,"2026/01/31 21:07:30",23.3,23,0,603,
1769890650,"2026/01/31 21:17:30",23.3,23,0,602,
1769891250,"2026/01/31 21:27:30",23.3,23,0,603,
1769891850,"2026/01/31 21:37:30",23.3,23,0,602,
1769892450,"2026/01/31 21:47:30",23.2,23,0,592,
1769893050,"2026/01/31 21:57:30",23.2,23,0,603,
1769893650,"2026/01/31 22:07:30",23.2,23,0,602,
1769894250,"2026/01/31 22:17:30",23.1,23,0,603,
1769894850,"2026/01/31 22:27:30",23.1,23,0,591,
1769895450,"2026/01/31 22:37:30",23,23,0,603,
1769896050,"2026/01/31 22:47:30",23,23,0,602,
1769896650,"2026/01/31 22:57:30",23,23,0,603,
1769897250,"2026/01/31 23:07:30",22.9,23,0,592,
1769897850,"2026/01/31 23:17:30",22.9,23,0,602,
1769898450,"2026/01/31 23:27:30",22.9,23,0,603,
1769899050,"2026/01/31 23:37:30",22.8,23,581,21,
1769899650,"2026/01/31 23:47:30",22.8,23,603,0,
1769900250,"2026/01/31 23:57:30",22.8,23,591,0,
1769900850,"2026/02/01 00:07:30",22.7,23,603,0,
1769901450,"2026/02/01 00:17:30",22.7,23,602,0,
1769902050,"2026/02/01 00:27:30",22.7,23,603,0,
1769902650,"2026/02/01 00:37:30",22.7,23,592,0,
1769903250,"2026/02/01 00:47:30",22.7,23,602,0,
1769903850,"2026/02/01 00:57:30",22.6,23,603,0,
1769904450,"2026/02/01 01:07:30",22.7,23,602,0,
1769905050,"2026/02/01 01:17:30",22.6,23,592,0,
1769905650,"2026/02/01 01:27:30",22.6,23,602,0,
1769906250,"2026/02/01 01:37:30",22.6,23,603,0,
